holiday,ds,lower_window,upper_window
New Years Eve,31/12/2021,0,0
Black Friday 2021,26/11/2021,0,0
Cyber Monday 2021,29/11/2021,0,0
Euro 2021 Final, 11,07,2021,0,0
Champions League Final, 29,05,2021,0,0

